model,task,group,metric,value
yolov8m,one_stage,class_variation,auc,0.82
yolov8m,stage2,overall,accuracy,86.15
yolov8m,stage2,macro,precision,89.94
yolov8m,stage2,macro,sensitivity,89.63
yolov8m,stage2,macro,specificity,90.92
yolov8m,stage2,macro,f1_score,89.77
yolov8m,stage2,macro,auc,0.93
yolov8m,stage2,micro,precision,86.15
yolov8m,stage2,micro,sensitivity,86.15
yolov8m,stage2,micro,specificity,86.15
yolov8m,stage2,micro,f1_score,86.15
yolov8m,stage2,class_opmd,precision,83.33
yolov8m,stage2,class_opmd,sensitivity,80.0
yolov8m,stage2,class_opmd,specificity,90.0
yolov8m,stage2,class_opmd,f1_score,81.63
yolov8m,stage2,class_opmd,auc,0.9
yolov8m,stage2,class_oral_cancer,precision,100.0
yolov8m,stage2,class_oral_cancer,sensitivity,100.0
yolov8m,stage2,class_oral_cancer,specificity,100.0
yolov8m,stage2,class_oral_cancer,f1_score,100.0
yolov8m,stage2,class_oral_cancer,auc,1.0
yolov8m,stage2,class_variation,precision,86.49
yolov8m,stage2,class_variation,sensitivity,88.89
yolov8m,stage2,class_variation,specificity,82.76
yolov8m,stage2,class_variation,f1_score,87.67
yolov8m,stage2,class_variation,auc,0.9
yolov8m,two_stage_e2e,overall,accuracy,90.89
yolov8m,two_stage_e2e,macro,precision,73.17
yolov8m,two_stage_e2e,macro,sensitivity,69.96
yolov8m,two_stage_e2e,macro,specificity,89.31
yolov8m,two_stage_e2e,macro,f1_score,70.82
yolov8m,two_stage_e2e,macro,auc,0.81
yolov8m,two_stage_e2e,micro,precision,90.89
yolov8m,two_stage_e2e,micro,sensitivity,90.89
yolov8m,two_stage_e2e,micro,specificity,90.89
yolov8m,two_stage_e2e,micro,f1_score,90.89
yolov8m,two_stage_e2e,class_normal,precision,94.32
yolov8m,two_stage_e2e,class_normal,sensitivity,96.74
yolov8m,two_stage_e2e,class_normal,specificity,61.54
yolov8m,two_stage_e2e,class_normal,f1_score,95.51
yolov8m,two_stage_e2e,class_normal,auc,0.79
yolov8m,two_stage_e2e,class_variation,precision,59.09
yolov8m,two_stage_e2e,class_variation,sensitivity,36.11
yolov8m,two_stage_e2e,class_variation,specificity,98.03
yolov8m,two_stage_e2e,class_variation,f1_score,44.83
yolov8m,two_stage_e2e,class_variation,auc,0.68
yolov8m,two_stage_e2e,class_opmd,precision,64.29
yolov8m,two_stage_e2e,class_opmd,sensitivity,72.0
yolov8m,two_stage_e2e,class_opmd,specificity,97.87
yolov8m,two_stage_e2e,class_opmd,f1_score,67.92
yolov8m,two_stage_e2e,class_opmd,auc,0.92
yolov8m,two_stage_e2e,class_oral_cancer,precision,75.0
yolov8m,two_stage_e2e,class_oral_cancer,sensitivity,75.0
yolov8m,two_stage_e2e,class_oral_cancer,specificity,99.8
yolov8m,two_stage_e2e,class_oral_cancer,f1_score,75.0
yolov8m,two_stage_e2e,class_oral_cancer,auc,0.86
